# Generated on: 2025-06-27T22:43:06.894Z
# Search Parameters: {"propertyValue":500000,"downPayment":250000,"loanAmount":850000,"creditScore":760,"propertyType":"single_family","occupancy":"primary","zipCode":"94949"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
NewRez LLC,5.250%,5.776%,"$2,044.864",-1.245,"$1,112.6",FHA,Wholesale
NexBank,5.250%,5.859%,"$2,044.864",-0.967250000000007,"$2,447.5",FHA,Wholesale
Rocket Pro,5.250%,5.861%,"$2,044.864",-0.8089999999999975,"$2,468.4",FHA,Wholesale
AFR Wholesale,5.250%,5.883%,"$2,044.864",-0.9890000000000043,"$2,822",FHA,Wholesale
Eleven Mortgage,5.250%,5.889%,"$2,044.864",-0.98348,"$2,914.9",FHA,Wholesale
Jet Advantage Mortgage,5.250%,5.915%,"$2,044.864",-0.1490000000000009,"$3,320.6",FHA,Wholesale
Forward Lending,5.250%,5.915%,"$2,044.864",-0.1490000000000009,"$3,320.6",FHA,Wholesale
Click n' Close,5.250%,5.924%,"$2,044.864",-0.6878,"$3,463.5",FHA,Wholesale
Sun West Mtg Co Wholesale,5.250%,5.932%,"$2,044.864",-0.64134,"$3,594.4",FHA,Wholesale
"VIP Mortgage, Inc.",5.250%,5.953%,"$2,044.864",-0.7217500000000001,"$3,924",FHA,Wholesale
Pennymac TPO,5.250%,5.960%,"$2,044.864",-0.231,"$4,040.5",FHA,Wholesale
Loan Factory Direct - PennyMac,5.250%,5.960%,"$2,044.864",-0.231,"$4,040.5",FHA,Wholesale
Loan United Wholesale,5.250%,5.973%,"$2,044.864",-0.3640000000000043,"$4,236.3",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.250%,5.976%,"$2,044.864",-0.293,"$4,289.7",FHA,Wholesale
TPO GO,5.250%,5.990%,"$2,044.864",0.2890000000000015,"$4,498.3",FHA,Wholesale
AD Mortgage,5.250%,5.992%,"$2,044.864",-0.19700000000000273,"$4,533.9",FHA,Wholesale
Plaza Home Mortgage Inc.,5.250%,5.999%,"$2,044.864",-0.10458,"$4,641.9",FHA,Wholesale
Kind Lending,5.250%,6.017%,"$2,044.864",0.01025,"$4,934",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.250%,6.017%,"$2,044.864",0.01025,"$4,934",FHA,Wholesale
HomeBridge Wholesale,5.250%,6.031%,"$2,044.864",0.594,"$5,147",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.250%,6.036%,"$2,044.864",0,"$5,225.8",FHA,Wholesale
JMAC Lending Inc.,5.250%,6.249%,"$2,044.864",1.2948,"$8,519.4",FHA,Wholesale
Open Mortgage,5.250%,6.289%,"$2,044.864",1.537,"$9,135.5",FHA,Wholesale
Windsor Mortgage Solutions,5.250%,6.393%,"$2,044.864",1.9320000000000022,"$10,712.7",FHA,Wholesale
NewRez LLC,5.250%,5.828%,"$2,076.014",-1.255,"$1,251.7",VA,Wholesale
Loan Factory Direct - Rocket,5.250%,5.890%,"$2,076.014",-0.7690000000000055,"$2,240.8",VA,Wholesale
Rocket Pro,5.250%,5.890%,"$2,076.014",-0.7690000000000055,"$2,240.8",VA,Wholesale
Eleven Mortgage,5.250%,5.947%,"$2,076.014",-0.84348,"$3,145.9",VA,Wholesale
NexBank,5.250%,5.967%,"$2,076.014",-0.5704499999999939,"$3,463.7",VA,Wholesale
Click n' Close,5.250%,5.967%,"$2,076.014",-0.6878,"$3,470.6",VA,Wholesale
Loan United Wholesale,5.250%,5.990%,"$2,076.014",-0.6779999999999973,"$3,831.6",VA,Wholesale
"VIP Mortgage, Inc.",5.250%,5.992%,"$2,076.014",-0.7317500000000052,"$3,860.7",VA,Wholesale
Jet Advantage Mortgage,5.250%,5.996%,"$2,076.014",0.08100000000000307,"$3,919.4",VA,Wholesale
Forward Lending,5.250%,5.996%,"$2,076.014",0.08100000000000307,"$3,919.4",VA,Wholesale
Sun West Mtg Co Wholesale,5.250%,5.996%,"$2,076.014",-0.64134,"$3,926.2",VA,Wholesale
Pennymac TPO,5.250%,6.005%,"$2,076.014",-0.446,"$4,069.1",VA,Wholesale
Loan Factory Direct - PennyMac,5.250%,6.005%,"$2,076.014",-0.446,"$4,069.1",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.250%,6.053%,"$2,076.014",-0.093,"$4,825.8",VA,Wholesale
Plaza Home Mortgage Inc.,5.250%,6.061%,"$2,076.014",0.00542,"$4,950.9",VA,Wholesale
Union Home Mortgage,5.250%,6.075%,"$2,076.014",-0.013999999999995794,"$5,158.9",VA,Wholesale
AFR Wholesale,5.250%,6.081%,"$2,076.014",0.10200000000000387,"$5,249.3",VA,Wholesale
Kind Lending,5.250%,6.120%,"$2,076.014",0.35943,"$5,865.1",VA,Wholesale
Loan Factory Direct - Kind Lending,5.250%,6.120%,"$2,076.014",0.35943,"$5,865.1",VA,Wholesale
The Loan Store LLC,5.250%,6.192%,"$2,076.014",0.6400000000000006,"$6,977",VA,Wholesale
JMAC Lending Inc.,5.250%,6.336%,"$2,076.014",1.5256,"$9,199.6",VA,Wholesale
Open Mortgage,5.250%,6.381%,"$2,076.014",1.787,"$9,874.6",VA,Wholesale
Windsor Mortgage Solutions,5.250%,6.435%,"$2,076.014",2.132000000000005,"$10,701",VA,Wholesale
Guaranteed Rate,5.250%,6.003%,"$2,009.69",1.698,"$13,676.16",Conventional,Retail
District Lending,5.250%,5.359%,"$2,683",0,"$1,250",Conventional,Retail
American VA Loans,5.250%,5.440%,"$2,010",0,"$3,220",VA,Retail
District Lending,5.250%,5.516%,"$2,010",0,"$4,375",VA,Retail
District Lending,5.250%,6.287%,"$2,010",0,"$5,625",FHA,Retail
AimLoan.com,5.250%,5.402%,"$2,010",0.6,"$2,495",Conventional,Retail
District Lending,5.250%,5.910%,"$2,683",1.304,"$7,635",VA,Retail
District Lending,5.250%,6.720%,"$2,683",1.134,"$8,460",FHA,Retail
American VA Loans,5.250%,5.540%,"$1,381",2.03,"$8,295",VA,Retail
District Lending,5.250%,5.595%,"$1,381",2.155,"$9,762",VA,Retail
American VA Loans,5.250%,5.663%,"$1,685",2.208,"$8,740",VA,Retail
District Lending,5.250%,5.737%,"$1,685",2.333,"$10,208",VA,Retail
District Lending,5.250%,6.666%,"$1,381",2.118,"$10,920",FHA,Retail
District Lending,5.250%,6.926%,"$1,685",2.257,"$11,268",FHA,Retail
AimLoan.com,5.250%,5.608%,"$1,685",2.593,"$7,478",Conventional,Retail
District Lending,5.250%,5.623%,"$1,685",2.613,"$7,782",Conventional,Retail
Mutual of Omaha Mortgage,5.375%,6.200%,"$1,504.1",1.93,"$11,438",FHA,Retail
Mutual of Omaha Mortgage,5.375%,5.755%,"$1,399.93",1.951,"$10,240.5",VA,Retail
Us Bank,5.375%,5.782%,"$2,697.7",0.978,"$7,451.93",Conventional,Retail
District Lending,5.375%,5.452%,"$2,026",0,"$5,331",Conventional,Retail
Empire of America,5.375%,5.467%,"$2,026",0,"$5,576",Conventional,Retail
District Lending,5.375%,5.563%,"$1,400",1.601,"$13,335.5",Conventional,Retail
District Lending,5.375%,5.566%,"$1,400",1.637,"$13,515.5",Conventional,Retail
American VA Loans,5.375%,5.627%,"$1,400",1.575,"$15,176.5",Conventional,Retail
"Tomo Mortgage, LLC.",5.375%,5.642%,"$2,026",1.749,"$12,825.5",Conventional,Retail
District Lending,5.375%,5.683%,"$1,400",1.7,"$16,956",Conventional,Retail
Rocket Pro,5.375%,5.947%,"$2,061.621",-1.0589999999999975,"$1,832.5",FHA,Wholesale
NewRez LLC,5.375%,5.949%,"$2,061.621",-0.949,"$1,865.6",FHA,Wholesale
Pennymac TPO,5.375%,5.986%,"$2,061.621",-0.852,"$2,460.8",FHA,Wholesale
Loan Factory Direct - PennyMac,5.375%,5.986%,"$2,061.621",-0.852,"$2,460.8",FHA,Wholesale
Eleven Mortgage,5.375%,5.995%,"$2,061.621",-1.10598,"$2,603.3",FHA,Wholesale
Click n' Close,5.375%,6.000%,"$2,061.621",-0.99827,"$2,673.8",FHA,Wholesale
AFR Wholesale,5.375%,6.013%,"$2,061.621",-0.965999999999994,"$2,880.5",FHA,Wholesale
"VIP Mortgage, Inc.",5.375%,6.020%,"$2,061.621",-1.0879999999999939,"$2,992.4",FHA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.044%,"$2,061.621",-0.73062,"$3,367.3",FHA,Wholesale
AD Mortgage,5.375%,6.046%,"$2,061.621",-0.6440000000000055,"$3,396.8",FHA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.048%,"$2,061.621",-0.57713,"$3,439.8",FHA,Wholesale
Jet Advantage Mortgage,5.375%,6.051%,"$2,061.621",-0.08400000000000318,"$3,485.9",FHA,Wholesale
Forward Lending,5.375%,6.051%,"$2,061.621",-0.08400000000000318,"$3,485.9",FHA,Wholesale
Kind Lending,5.375%,6.064%,"$2,061.621",-0.47975,"$3,687.5",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.064%,"$2,061.621",-0.47975,"$3,687.5",FHA,Wholesale
TPO GO,5.375%,6.065%,"$2,061.621",-0.02400000000000091,"$3,702.1",FHA,Wholesale
HomeBridge Wholesale,5.375%,6.076%,"$2,061.621",0.094,"$3,875.1",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.375%,6.083%,"$2,061.621",-0.416,"$3,976.8",FHA,Wholesale
Loan United Wholesale,5.375%,6.088%,"$2,061.621",-0.43600000000000705,"$4,053.1",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.375%,6.142%,"$2,061.621",-0.125,"$4,907.8",FHA,Wholesale
JMAC Lending Inc.,5.375%,6.290%,"$2,061.621",0.7747,"$7,196.4",FHA,Wholesale
Open Mortgage,5.375%,6.390%,"$2,061.621",1.378,"$8,731.1",FHA,Wholesale
Windsor Mortgage Solutions,5.375%,6.585%,"$2,061.621",2.308880000000002,"$11,671.4",FHA,Wholesale
Loan Factory Direct - Rocket,5.375%,5.969%,"$2,093.027",-1.0679999999999978,"$1,468.6",VA,Wholesale
Rocket Pro,5.375%,5.969%,"$2,093.027",-1.0679999999999978,"$1,468.6",VA,Wholesale
NewRez LLC,5.375%,6.003%,"$2,093.027",-0.959,"$2,016.1",VA,Wholesale
Click n' Close,5.375%,6.044%,"$2,093.027",-0.99827,"$2,668.8",VA,Wholesale
Eleven Mortgage,5.375%,6.049%,"$2,093.027",-0.99723,"$2,748.9",VA,Wholesale
Pennymac TPO,5.375%,6.050%,"$2,093.027",-0.952,"$2,762.4",VA,Wholesale
Loan Factory Direct - PennyMac,5.375%,6.050%,"$2,093.027",-0.952,"$2,762.4",VA,Wholesale
"VIP Mortgage, Inc.",5.375%,6.056%,"$2,093.027",-1.117999999999995,"$2,863.2",VA,Wholesale
Loan United Wholesale,5.375%,6.093%,"$2,093.027",-0.8319999999999936,"$3,433.9",VA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.109%,"$2,093.027",-0.73062,"$3,695.7",VA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.112%,"$2,093.027",-0.46713,"$3,730.5",VA,Wholesale
Jet Advantage Mortgage,5.375%,6.134%,"$2,093.027",0.1460000000000008,"$4,087.2",VA,Wholesale
Forward Lending,5.375%,6.134%,"$2,093.027",0.1460000000000008,"$4,087.2",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.375%,6.161%,"$2,093.027",-0.216,"$4,508.2",VA,Wholesale
AFR Wholesale,5.375%,6.168%,"$2,093.027",-0.14300000000000068,"$4,616.6",VA,Wholesale
Kind Lending,5.375%,6.171%,"$2,093.027",-0.10725,"$4,659.9",VA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.171%,"$2,093.027",-0.10725,"$4,659.9",VA,Wholesale
Union Home Mortgage,5.375%,6.203%,"$2,093.027",-0.013999999999995794,"$5,158.9",VA,Wholesale
The Loan Store LLC,5.375%,6.299%,"$2,093.027",0.5150000000000006,"$6,654.2",VA,Wholesale
JMAC Lending Inc.,5.375%,6.396%,"$2,093.027",1.1193,"$8,150.3",VA,Wholesale
Open Mortgage,5.375%,6.483%,"$2,093.027",1.628,"$9,464",VA,Wholesale
Windsor Mortgage Solutions,5.375%,6.629%,"$2,093.027",2.508880000000005,"$11,674.3",VA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.392%,"$1,731.903",0.99812,"$5,857",FHA,Wholesale
CMG Financial,5.375%,6.417%,"$1,731.903",1.039,"$6,342.6",FHA,Wholesale
Pennymac TPO,5.375%,6.456%,"$1,731.903",0.965,"$7,082.8",FHA,Wholesale
Loan Factory Direct - PennyMac,5.375%,6.456%,"$1,731.903",0.965,"$7,082.8",FHA,Wholesale
Loan United Wholesale,5.375%,6.469%,"$1,731.903",0.347999999999999,"$7,319.3",FHA,Wholesale
NewRez LLC,5.375%,6.478%,"$1,731.903",1.262,"$7,489.8",FHA,Wholesale
NexBank,5.375%,6.489%,"$1,731.903",1.0957499999999953,"$7,695.2",FHA,Wholesale
Open Mortgage,5.375%,6.496%,"$1,731.903",1.022,"$7,825.5",FHA,Wholesale
Rocket Pro,5.375%,6.496%,"$1,731.903",1.2999999999999972,"$7,833.2",FHA,Wholesale
Eleven Mortgage,5.375%,6.506%,"$1,731.903",3.3329,"$8,018.7",FHA,Wholesale
AFR Wholesale,5.375%,6.535%,"$1,731.903",1.2644599999999997,"$8,554.3",FHA,Wholesale
AD Mortgage,5.375%,6.535%,"$1,731.903",1.3840000000000003,"$8,555.6",FHA,Wholesale
"VIP Mortgage, Inc.",5.375%,6.540%,"$1,731.903",1.1361899999999991,"$8,650.2",FHA,Wholesale
Kind Lending,5.375%,6.541%,"$1,731.903",1.48012,"$8,673",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.541%,"$1,731.903",1.48012,"$8,673",FHA,Wholesale
Jet Advantage Mortgage,5.375%,6.559%,"$1,731.903",2.0859999999999985,"$9,005.9",FHA,Wholesale
Forward Lending,5.375%,6.559%,"$1,731.903",2.0859999999999985,"$9,005.9",FHA,Wholesale
HomeBridge Wholesale,5.375%,6.560%,"$1,731.903",1.621,"$9,031.3",FHA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.573%,"$1,731.903",1.21332,"$9,266.1",FHA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.136%,"$1,424.427",0.99812,"$5,857",FHA,Wholesale
Power TPO,5.375%,6.141%,"$1,424.427",0.6770000000000067,"$5,994",FHA,Wholesale
Loan United Wholesale,5.375%,6.143%,"$1,424.427",0.347999999999999,"$6,047.4",FHA,Wholesale
AmWest Funding Corp,5.375%,6.146%,"$1,424.427",0.477,"$6,121.3",FHA,Wholesale
CMG Financial,5.375%,6.155%,"$1,424.427",1.039,"$6,342.6",FHA,Wholesale
NexBank,5.375%,6.173%,"$1,424.427",0.7462100000000049,"$6,806.1",FHA,Wholesale
Pennymac TPO,5.375%,6.184%,"$1,424.427",0.965,"$7,082.8",FHA,Wholesale
Loan Factory Direct - PennyMac,5.375%,6.184%,"$1,424.427",0.965,"$7,082.8",FHA,Wholesale
Rocket Pro,5.375%,6.188%,"$1,424.427",1.0430000000000064,"$7,179.4",FHA,Wholesale
Open Mortgage,5.375%,6.189%,"$1,424.427",0.772,"$7,189.6",FHA,Wholesale
AD Mortgage,5.375%,6.194%,"$1,424.427",0.9009999999999962,"$7,326.9",FHA,Wholesale
NewRez LLC,5.375%,6.200%,"$1,424.427",1.262,"$7,489.8",FHA,Wholesale
Eleven Mortgage,5.375%,6.204%,"$1,424.427",0.84562,"$7,567.6",FHA,Wholesale
Jet Advantage Mortgage,5.375%,6.208%,"$1,424.427",1.561000000000007,"$7,670.4",FHA,Wholesale
Forward Lending,5.375%,6.208%,"$1,424.427",1.561000000000007,"$7,670.4",FHA,Wholesale
The Loan Store LLC,5.375%,6.208%,"$1,424.427",0.938999999999993,"$7,678",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.211%,"$1,424.427",1.11625,"$7,747.4",FHA,Wholesale
Kind Lending,5.375%,6.211%,"$1,424.427",1.11625,"$7,747.4",FHA,Wholesale
HomeBridge Wholesale,5.375%,6.211%,"$1,424.427",1.621,"$7,759.4",FHA,Wholesale
Orion Lending,5.375%,6.216%,"$1,424.427",1.792,"$7,876.4",FHA,Wholesale
TPO GO,5.375%,6.217%,"$1,424.427",1.6290000000000049,"$7,907",FHA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.221%,"$1,424.427",1.21332,"$7,994.3",FHA,Wholesale
AFR Wholesale,5.375%,6.227%,"$1,424.427",1.1029999999999944,"$8,143.6",FHA,Wholesale
Click n' Close,5.375%,6.227%,"$1,424.427",1.11335,"$8,147",FHA,Wholesale
JMAC Lending Inc.,5.375%,6.236%,"$1,424.427",1.36165,"$8,371.6",FHA,Wholesale
"VIP Mortgage, Inc.",5.375%,6.247%,"$1,424.427",1.1361899999999991,"$8,650.2",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.375%,6.249%,"$1,424.427",1.438,"$8,692.9",FHA,Wholesale
Windsor Mortgage Solutions,5.375%,6.262%,"$1,424.427",1.2662799999999947,"$9,019.3",FHA,Wholesale
Union Home Mortgage,5.375%,6.386%,"$1,424.427",2.7180000000000035,"$12,076.1",FHA,Wholesale
District Lending,5.375%,5.452%,"$2,027",0,"$1,250",Conventional,Retail
PenFed Credit Union,5.375%,6.455%,"$2,027",0,"$6,370",FHA,Retail
AimLoan.com,5.375%,5.485%,"$2,027",0.318,"$1,790",Conventional,Retail
District Lending,5.375%,5.563%,"$1,400",1.601,"$5,252",Conventional,Retail
District Lending,5.375%,5.566%,"$1,400",1.637,"$5,342",Conventional,Retail
American VA Loans,5.375%,5.627%,"$1,400",1.575,"$7,158",VA,Retail
"Tomo Mortgage, LLC.",5.375%,5.642%,"$2,027",1.749,"$4,372",Conventional,Retail
District Lending,5.375%,5.683%,"$1,400",1.7,"$8,625",VA,Retail
American VA Loans,5.375%,5.742%,"$1,703",1.8,"$7,720",VA,Retail
District Lending,5.375%,5.816%,"$1,703",1.925,"$9,188",VA,Retail
District Lending,5.375%,6.746%,"$1,400",1.618,"$9,670",FHA,Retail
District Lending,5.375%,7.005%,"$1,703",1.874,"$10,310",FHA,Retail
