# Generated on: 2025-06-27T22:43:06.894Z
# Search Parameters: {"propertyValue":500000,"downPayment":250000,"loanAmount":850000,"creditScore":760,"propertyType":"single_family","occupancy":"primary","zipCode":"94949"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
District Lending,4.250%,4.747%,"$1,881",2.875,"$8,438",Conventional,Retail
American VA Loans,4.250%,4.825%,"$1,881",2.664,"$9,880",VA,Retail
District Lending,4.250%,4.916%,"$1,881",2.789,"$11,348",VA,Retail
District Lending,4.250%,4.939%,"$2,561",2.75,"$8,125",Conventional,Retail
District Lending,4.250%,5.684%,"$1,881",2.685,"$12,338",FHA,Retail
District Lending,4.375%,4.800%,"$1,897",2.375,"$7,188",Conventional,Retail
American VA Loans,4.375%,4.904%,"$1,897",2.332,"$9,050",VA,Retail
District Lending,4.375%,4.960%,"$2,576",2.25,"$6,875",Conventional,Retail
District Lending,4.375%,4.995%,"$1,897",2.457,"$10,518",VA,Retail
District Lending,4.375%,5.758%,"$1,897",2.325,"$11,438",FHA,Retail
District Lending,4.500%,5.831%,"$1,913",1.963,"$10,532",FHA,Retail
American VA Loans,4.625%,5.060%,"$1,928",1.671,"$15,656.5",Conventional,Retail
District Lending,4.625%,5.037%,"$2,607",1.422,"$4,805",Conventional,Retail
American VA Loans,4.625%,5.060%,"$1,929",1.671,"$7,398",VA,Retail
District Lending,4.625%,5.129%,"$2,607",1.854,"$5,885",Conventional,Retail
District Lending,4.625%,5.152%,"$1,929",1.796,"$8,865",VA,Retail
District Lending,4.750%,5.068%,"$1,945",1.625,"$13,455.5",Conventional,Retail
Empire of America,4.750%,5.139%,"$1,945",2,"$15,576",Conventional,Retail
American VA Loans,4.750%,5.098%,"$1,945",1.074,"$5,905",VA,Retail
District Lending,4.750%,5.191%,"$1,945",1.199,"$7,372",VA,Retail
District Lending,4.750%,5.957%,"$1,945",1.118,"$8,420",FHA,Retail
District Lending,4.750%,5.068%,"$1,945",1.625,"$5,312",Conventional,Retail
AimLoan.com,4.750%,5.141%,"$1,945",2.216,"$6,535",Conventional,Retail
District Lending,4.750%,6.590%,"$2,622",2.907,"$12,892",FHA,Retail
American VA Loans,4.875%,5.175%,"$1,961",0.742,"$11,011",Conventional,Retail
District Lending,4.875%,5.268%,"$1,961",0.867,"$12,790.5",Conventional,Retail
AimLoan.com,4.875%,5.212%,"$1,961",1.846,"$14,306",Conventional,Retail
American VA Loans,4.875%,5.175%,"$1,961",0.742,"$5,075",VA,Retail
District Lending,4.875%,5.268%,"$1,961",0.867,"$6,542",VA,Retail
District Lending,4.875%,6.037%,"$1,961",0.822,"$7,680",FHA,Retail
District Lending,4.875%,5.138%,"$1,961",1.25,"$4,375",Conventional,Retail
AimLoan.com,4.875%,5.212%,"$1,961",1.846,"$5,610",Conventional,Retail
District Lending,4.875%,5.832%,"$2,637",2.727,"$11,192",VA,Retail
American VA Loans,4.990%,5.245%,"$1,976",0.437,"$4,312",VA,Retail
District Lending,4.990%,5.282%,"$2,651",0.852,"$3,380",Conventional,Retail
"Tomo Mortgage, LLC.",4.990%,5.431%,"$1,976",2.932,"$7,330",Conventional,Retail
PenFed Credit Union,5.000%,6.212%,"$1,977",0.875,"$8,558",FHA,Retail
AimLoan.com,5.000%,5.284%,"$1,977",1.482,"$4,700",Conventional,Retail
District Lending,5.000%,5.855%,"$2,652",2.237,"$9,968",VA,Retail
District Lending,5.000%,6.666%,"$2,652",2.067,"$10,792",FHA,Retail
District Lending,5.000%,5.292%,"$1,343",2.848,"$8,370",Conventional,Retail
Empire of America,5.125%,5.348%,"$1,993",0.875,"$9,950.5",Conventional,Retail
NewRez LLC,5.125%,5.737%,"$2,028.184",-0.696,"$2,509.2",FHA,Wholesale
NexBank,5.125%,5.768%,"$2,028.184",-0.7544999999999931,"$2,988.6",FHA,Wholesale
Loan Factory Direct - PennyMac,5.125%,5.821%,"$2,028.184",-0.314,"$3,829.4",FHA,Wholesale
Pennymac TPO,5.125%,5.821%,"$2,028.184",-0.314,"$3,829.4",FHA,Wholesale
Eleven Mortgage,5.125%,5.833%,"$2,028.184",0.9616,"$4,021.6",FHA,Wholesale
Rocket Pro,5.125%,5.837%,"$2,028.184",-0.1700000000000017,"$4,093.9",FHA,Wholesale
Click n' Close,5.125%,5.851%,"$2,028.184",-0.35675,"$4,305.6",FHA,Wholesale
"VIP Mortgage, Inc.",5.125%,5.873%,"$2,028.184",-0.43174999999999386,"$4,661.7",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.125%,5.895%,"$2,028.184",-0.015,"$4,996.8",FHA,Wholesale
Loan United Wholesale,5.125%,5.912%,"$2,028.184",0.0379999999999967,"$5,258.9",FHA,Wholesale
Plaza Home Mortgage Inc.,5.125%,5.921%,"$2,028.184",0.19594,"$5,406.3",FHA,Wholesale
TPO GO,5.125%,5.926%,"$2,028.184",0.6779999999999973,"$5,487.9",FHA,Wholesale
AFR Wholesale,5.125%,5.927%,"$2,028.184",0.06399999999999295,"$5,500.6",FHA,Wholesale
Jet Advantage Mortgage,5.125%,5.929%,"$2,028.184",0.7210000000000036,"$5,533.6",FHA,Wholesale
Forward Lending,5.125%,5.929%,"$2,028.184",0.7210000000000036,"$5,533.6",FHA,Wholesale
AD Mortgage,5.125%,5.938%,"$2,028.184",0.25199999999999534,"$5,676",FHA,Wholesale
Sun West Mtg Co Wholesale,5.125%,5.989%,"$2,028.184",0.48813,"$6,467.5",FHA,Wholesale
Kind Lending,5.125%,6.019%,"$2,028.184",0.79708,"$6,935.5",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.125%,6.019%,"$2,028.184",0.79708,"$6,935.5",FHA,Wholesale
HomeBridge Wholesale,5.125%,6.032%,"$2,028.184",1.375,"$7,133.7",FHA,Wholesale
JMAC Lending Inc.,5.125%,6.094%,"$2,028.184",1.1266,"$8,091.6",FHA,Wholesale
Windsor Mortgage Solutions,5.125%,6.309%,"$2,028.184",2.191999999999993,"$11,374.1",FHA,Wholesale
NewRez LLC,5.125%,5.789%,"$2,059.08",-0.706,"$2,669.5",VA,Wholesale
Rocket Pro,5.125%,5.845%,"$2,059.08",-0.26200000000000045,"$3,550.1",VA,Wholesale
Loan Factory Direct - Rocket,5.125%,5.845%,"$2,059.08",-0.26200000000000045,"$3,550.1",VA,Wholesale
NexBank,5.125%,5.884%,"$2,059.08",-0.2949700000000064,"$4,175.1",VA,Wholesale
Click n' Close,5.125%,5.894%,"$2,059.08",-0.35675,"$4,325.5",VA,Wholesale
Pennymac TPO,5.125%,5.904%,"$2,059.08",-0.285,"$4,484.9",VA,Wholesale
Loan Factory Direct - PennyMac,5.125%,5.904%,"$2,059.08",-0.285,"$4,484.9",VA,Wholesale
"VIP Mortgage, Inc.",5.125%,5.912%,"$2,059.08",-0.441749999999999,"$4,609.6",VA,Wholesale
Eleven Mortgage,5.125%,5.939%,"$2,059.08",1.1357,"$5,029",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.125%,5.980%,"$2,059.08",0.235,"$5,672.9",VA,Wholesale
Plaza Home Mortgage Inc.,5.125%,5.983%,"$2,059.08",0.30594,"$5,727",VA,Wholesale
Jet Advantage Mortgage,5.125%,6.032%,"$2,059.08",1.0759999999999934,"$6,489",VA,Wholesale
Forward Lending,5.125%,6.032%,"$2,059.08",1.0759999999999934,"$6,489",VA,Wholesale
Loan United Wholesale,5.125%,6.032%,"$2,059.08",0.35299999999999443,"$6,494.1",VA,Wholesale
Sun West Mtg Co Wholesale,5.125%,6.055%,"$2,059.08",0.48813,"$6,843.1",VA,Wholesale
Kind Lending,5.125%,6.056%,"$2,059.08",0.74708,"$6,866.2",VA,Wholesale
Loan Factory Direct - Kind Lending,5.125%,6.056%,"$2,059.08",0.74708,"$6,866.2",VA,Wholesale
AFR Wholesale,5.125%,6.069%,"$2,059.08",0.8059999999999974,"$7,067.4",VA,Wholesale
Union Home Mortgage,5.125%,6.196%,"$2,059.08",1.4860000000000042,"$9,032.7",VA,Wholesale
JMAC Lending Inc.,5.125%,6.220%,"$2,059.08",1.6007,"$9,393.5",VA,Wholesale
Windsor Mortgage Solutions,5.125%,6.350%,"$2,059.08",2.391999999999996,"$11,372.4",VA,Wholesale
Guaranteed Rate,5.125%,6.360%,"$2,058.78",1.864,"$17,619.16",FHA,Retail
District Lending,5.125%,5.277%,"$1,994",0.5,"$2,500",Conventional,Retail
District Lending,5.125%,5.315%,"$2,667",0.375,"$2,188",Conventional,Retail
District Lending,5.125%,5.424%,"$1,994",0.221,"$4,928",VA,Retail
District Lending,5.125%,6.224%,"$1,994",0.404,"$6,635",FHA,Retail
PenFed Credit Union,5.125%,6.263%,"$1,994",0.375,"$7,308",FHA,Retail
District Lending,5.125%,5.880%,"$2,667",1.756,"$8,765",VA,Retail
District Lending,5.125%,6.690%,"$2,667",1.586,"$9,590",FHA,Retail
District Lending,5.125%,5.383%,"$1,362",2.435,"$7,338",Conventional,Retail
District Lending,5.125%,6.601%,"$1,362",2.808,"$12,645",FHA,Retail
Optimum First Mortgage,5.249%,5.611%,"$1,380.35",1.892,"$9,850",VA,Retail
"SunnyHill Financial, Inc.",5.250%,5.547%,"$1,380.51",1.555,"$8,107.5",VA,Retail
American VA Loans,5.250%,5.440%,"$2,010",0,"$7,301",Conventional,Retail
AimLoan.com,5.250%,5.402%,"$2,010",0.6,"$8,076",Conventional,Retail
