# Generated on: 2025-06-28T03:22:18.487Z
# Search Parameters: {"propertyValue":550000,"downPayment":20000,"loanAmount":530000,"creditScore":698,"propertyType":"single_family","occupancy":"primary","zipCode":"44121"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
Loan United Wholesale,6.000%,6.471%,"$3,270.092",-0.0660000000000025,"$9,076",VA,Wholesale
Open Mortgage,6.000%,6.514%,"$3,270.092",-1.266,"$11,394",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",6.000%,6.525%,"$3,270.092",-0.505,"$11,999.5",VA,Wholesale
The Loan Store LLC,6.000%,6.534%,"$3,270.092",-1.3709999999999951,"$12,457.6",VA,Wholesale
Orion Lending,6.000%,6.546%,"$3,270.092",-0.58,"$13,090.3",VA,Wholesale
Jet Advantage Mortgage,6.000%,6.640%,"$3,270.092",-0.6869999999999976,"$18,097.3",VA,Wholesale
Forward Lending,6.000%,6.640%,"$3,270.092",-0.6869999999999976,"$18,097.3",VA,Wholesale
Union Home Mortgage,6.000%,6.963%,"$3,270.092",0.7489999999999952,"$34,656.4",VA,Wholesale
PenFed Credit Union,6.000%,6.217%,"$3,166",0,"$12,347",VA,Retail
PenFed Credit Union,6.000%,6.598%,"$4,135",0.5,"$4,635",Conventional,Retail
"New American Funding, LLC.",6.000%,6.658%,"$4,135",1.372,"$7,244",Conventional,Retail
PenFed Credit Union,6.000%,6.695%,"$3,602",2.25,"$13,875",Conventional,Retail
Us Bank,6.125%,6.651%,"$7,745",0.845,"$7,280.91",Conventional,Retail
Us Bank,6.125%,6.543%,"$5,895.08",0.855,"$10,225.94",Conventional,Retail
Us Bank,6.125%,6.989%,"$3,208.18",0.632,"$5,098.59",FHA,Retail
Us Bank,6.125%,6.471%,"$3,208.18",0.607,"$4,843.54",VA,Retail
Garden State Home Loans - HE,6.125%,7.421%,"$3,824.18",1.614,"$9,329.92",Conventional,Retail
Alliant Credit Union,6.125%,7.447%,"$3,824.18",1.824,"$10,580.72",Conventional,Retail
Everstream Mortgage,6.125%,6.418%,"$3,947.021",-0.3649999999999949,"$-4,854.1",VA,Wholesale
Pennymac TPO,6.125%,6.485%,"$3,947.021",-1.968,"$-2,034.2",VA,Wholesale
Loan Factory Direct - PennyMac,6.125%,6.485%,"$3,947.021",-1.968,"$-2,034.2",VA,Wholesale
Sun West Mtg Co Wholesale,6.125%,6.530%,"$3,947.021",-1.23437,$-160.1,VA,Wholesale
Kind Lending,6.125%,6.530%,"$3,947.021",-1.35479,$-135,VA,Wholesale
Loan Factory Direct - Kind Lending,6.125%,6.530%,"$3,947.021",-1.35479,$-135,VA,Wholesale
NexBank,6.125%,6.534%,"$3,947.021",-1.3530099999999976,$11,VA,Wholesale
NewRez LLC,6.125%,6.556%,"$3,947.021",-1.791,$932.9,VA,Wholesale
Loan Factory Direct - Rocket,6.125%,6.641%,"$3,947.021",-1.1359999999999957,"$4,467.2",VA,Wholesale
Rocket Pro,6.125%,6.641%,"$3,947.021",-1.1359999999999957,"$4,467.2",VA,Wholesale
AFR Wholesale,6.125%,6.751%,"$3,947.021",-0.1290000000000049,"$8,945.1",VA,Wholesale
HomeBridge Wholesale,6.125%,6.774%,"$3,947.021",-0.293,"$9,883.2",VA,Wholesale
Open Mortgage,6.125%,6.798%,"$3,947.021",-1.37,"$10,826.8",VA,Wholesale
Jet Advantage Mortgage,6.125%,6.985%,"$3,947.021",-0.6490000000000009,"$18,304.6",VA,Wholesale
Forward Lending,6.125%,6.985%,"$3,947.021",-0.6490000000000009,"$18,304.6",VA,Wholesale
The Loan Store LLC,6.125%,7.009%,"$3,947.021",-0.125,"$19,253.6",VA,Wholesale
Everstream Mortgage,6.125%,6.346%,"$3,314.054",-0.3649999999999949,"$-4,854.1",VA,Wholesale
"VIP Mortgage, Inc.",6.125%,6.376%,"$3,314.054",-1.9909999999999997,"$-3,168.8",VA,Wholesale
NexBank,6.125%,6.389%,"$3,314.054",-1.8040600000000069,"$-2,449.2",VA,Wholesale
Pennymac TPO,6.125%,6.396%,"$3,314.054",-1.968,"$-2,034.2",VA,Wholesale
Loan Factory Direct - PennyMac,6.125%,6.396%,"$3,314.054",-1.968,"$-2,034.2",VA,Wholesale
Loan Factory Direct - Kind Lending,6.125%,6.400%,"$3,314.054",-1.66479,"$-1,825.9",VA,Wholesale
Kind Lending,6.125%,6.400%,"$3,314.054",-1.66479,"$-1,825.9",VA,Wholesale
AFR Wholesale,6.125%,6.422%,"$3,314.054",-1.8790000000000049,$-599.8,VA,Wholesale
JMAC Lending Inc.,6.125%,6.439%,"$3,314.054",-1.29345,$335.8,VA,Wholesale
NewRez LLC,6.125%,6.450%,"$3,314.054",-1.791,$932.9,VA,Wholesale
Loan Factory Direct - Rocket,6.125%,6.496%,"$3,314.054",-1.316999999999993,"$3,480",VA,Wholesale
Rocket Pro,6.125%,6.496%,"$3,314.054",-1.316999999999993,"$3,480",VA,Wholesale
Sun West Mtg Co Wholesale,6.125%,6.530%,"$3,314.054",-0.23437,"$5,294.2",VA,Wholesale
TPO GO,6.125%,6.540%,"$3,314.054",-1.3349999999999937,"$5,836.2",VA,Wholesale
Loan United Wholesale,6.125%,6.546%,"$3,314.054",-0.5939999999999941,"$6,196.2",VA,Wholesale
HomeBridge Wholesale,6.125%,6.564%,"$3,314.054",-0.293,"$7,156.1",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",6.125%,6.603%,"$3,314.054",-1.008,"$9,256",VA,Wholesale
Open Mortgage,6.125%,6.607%,"$3,314.054",-1.62,"$9,463.2",VA,Wholesale
Orion Lending,6.125%,6.624%,"$3,314.054",-1.075,"$10,390.5",VA,Wholesale
The Loan Store LLC,6.125%,6.636%,"$3,314.054",-1.632000000000005,"$11,034.1",VA,Wholesale
Jet Advantage Mortgage,6.125%,6.709%,"$3,314.054",-1.274000000000001,"$14,895.7",VA,Wholesale
Forward Lending,6.125%,6.709%,"$3,314.054",-1.274000000000001,"$14,895.7",VA,Wholesale
Union Home Mortgage,6.125%,7.096%,"$3,314.054",0.7489999999999952,"$34,656.4",VA,Wholesale
PenFed Credit Union,6.125%,6.665%,"$4,173",0,"$1,995",Conventional,Retail
"New American Funding, LLC.",6.125%,6.734%,"$4,173",0.944,"$4,984",Conventional,Retail
"New American Funding, LLC.",6.125%,6.763%,"$3,644",1.941,"$10,248",Conventional,Retail
PenFed Credit Union,6.125%,6.780%,"$3,644",1.75,"$11,235",Conventional,Retail
Us Bank,6.250%,6.626%,"$5,928.39",0.855,"$7,371.33",Conventional,Retail
"New American Funding, LLC.",6.250%,6.368%,"$3,048",0,"$10,389",Conventional,Retail
Guaranteed Rate,6.250%,7.673%,"$3,778.99",1.917,"$18,858.55",Conventional,Retail
"New American Funding, LLC.",6.250%,6.453%,"$3,251",0,"$11,352",VA,Retail
PenFed Credit Union,6.250%,6.888%,"$3,687",1.5,"$9,915",Conventional,Retail
Third Federal Savings and Loan,6.340%,7.601%,"$3,897.96",1,"$6,675",Conventional,Retail
Sage Home Loans,6.370%,7.247%,"$3,732.31",0.498,"$4,123.44",Conventional,Retail
Chase Bank,6.375%,7.337%,"$4,540.696",1.056,"$7,070.68",Conventional,Retail
Us Bank,6.375%,6.666%,"$4,563.24",0.955,"$13,166.35",Conventional,Retail
Garden State Home Loans - HE,6.375%,7.614%,"$3,910.03",0.908,"$5,602.24",Conventional,Retail
Alliant Credit Union,6.375%,7.627%,"$3,910.03",0.998,"$6,219.44",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",6.375%,6.678%,"$3,088",1.804,"$28,947.8",Conventional,Retail
"New American Funding, LLC.",6.375%,6.935%,"$4,250",0.491,"$2,592",Conventional,Retail
PenFed Credit Union,6.375%,6.959%,"$3,730",0.875,"$6,615",Conventional,Retail
"New American Funding, LLC.",6.375%,6.967%,"$3,730",1.337,"$7,059",Conventional,Retail
Guaranteed Rate,6.450%,7.677%,"$3,847.98",0.977,"$13,904.15",Conventional,Retail
Us Bank,6.490%,6.631%,"$3,333.85",0.59,"$6,044.94",Conventional,Retail
"New American Funding, LLC.",6.490%,7.049%,"$3,770",0.938,"$4,953",Conventional,Retail
PenFed Credit Union,6.500%,7.042%,"$3,773",0.375,"$3,975",Conventional,Retail
Sage Home Loans,6.620%,7.428%,"$3,819.1",0,N/A,Conventional,Retail
Garden State Home Loans - HE,6.625%,7.788%,"$3,996.84",0,$786.88,Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",6.625%,6.840%,"$3,170",0.842,"$19,423.9",Conventional,Retail
"New American Funding, LLC.",6.625%,7.144%,"$3,817",0.465,"$2,455",Conventional,Retail
Third Federal Savings and Loan,6.690%,7.867%,"$4,019.57",0,"$1,395",Conventional,Retail
Us Bank,6.750%,6.978%,"$4,014.72",0.9,"$11,899.42",Conventional,Retail
Us Bank,6.750%,6.907%,"$3,424.6",0.725,"$9,924.82",Conventional,Retail
Alliant Credit Union,6.750%,7.913%,"$4,040.6",0,$480.08,Conventional,Retail
"New American Funding, LLC.",6.750%,7.228%,"$3,861",0,N/A,Conventional,Retail
"New American Funding, LLC.",6.750%,7.257%,"$4,367",0,N/A,Conventional,Retail
Guaranteed Rate,6.775%,7.810%,"$3,961.38",-0.004,"$8,781.01",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",6.990%,7.127%,"$3,290",0,"$11,089",Conventional,Retail
Us Bank,7.000%,7.100%,"$10,455.03",0.875,"$7,707",Conventional,Retail
Loan Factory Direct - Rocket,7.125%,7.387%,"$4,940.621",-3.5430000000000064,"$-8,661.2",VA,Wholesale
Rocket Pro,7.125%,7.387%,"$4,940.621",-3.5430000000000064,"$-8,661.2",VA,Wholesale
Open Mortgage,7.125%,7.899%,"$4,940.621",-1.919,"$7,832.4",VA,Wholesale
Us Bank,7.250%,9.126%,"$4,819.92",5.843,"$33,402.87",FHA,Retail
Us Bank,7.250%,8.754%,"$4,819.92",5.718,"$32,652.81",VA,Retail
Loan Factory Direct - Rocket,7.250%,7.493%,"$4,978.973",-3.6629999999999967,"$-9,315.7",VA,Wholesale
Rocket Pro,7.250%,7.493%,"$4,978.973",-3.6629999999999967,"$-9,315.7",VA,Wholesale
Open Mortgage,7.250%,7.984%,"$4,978.973",-2.166,"$6,485.2",VA,Wholesale
Open Mortgage,7.375%,8.094%,"$5,017.483",-2.266,"$5,939.8",VA,Wholesale
PenFed Credit Union,7.375%,8.098%,"$5,210",0.125,"$2,655",Conventional,Retail
Open Mortgage,7.500%,8.177%,"$5,056.148",-2.525,"$4,527.1",VA,Wholesale
PenFed Credit Union,7.500%,8.206%,"$5,247",0,"$1,995",Conventional,Retail
Open Mortgage,7.625%,8.257%,"$5,094.969",-2.8,"$3,027.2",VA,Wholesale
Open Mortgage,7.750%,8.336%,"$5,133.944",-3.077,"$1,516.4",VA,Wholesale
