# Generated on: 2025-06-28T03:22:18.487Z
# Search Parameters: {"propertyValue":550000,"downPayment":20000,"loanAmount":530000,"creditScore":698,"propertyType":"single_family","occupancy":"primary","zipCode":"44121"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
HomeBridge Wholesale,5.500%,6.213%,"$3,096.857",2.621,"$23,049.8",VA,Wholesale
Orion Lending,5.500%,6.216%,"$3,096.857",1.275,"$23,208",VA,Wholesale
Loan United Wholesale,5.500%,6.269%,"$3,096.857",3.0400000000000063,"$26,016.9",VA,Wholesale
Jet Advantage Mortgage,5.500%,6.312%,"$3,096.857",1.1899999999999977,"$28,334.9",VA,Wholesale
Forward Lending,5.500%,6.312%,"$3,096.857",1.1899999999999977,"$28,334.9",VA,Wholesale
Union Home Mortgage,5.500%,6.646%,"$3,096.857",2.7180000000000035,"$45,395.8",VA,Wholesale
"New American Funding, LLC.",5.500%,5.829%,"$4,315",0,"$11,352",VA,Retail
PenFed Credit Union,5.500%,5.858%,"$4,315",0,"$12,347",VA,Retail
"New American Funding, LLC.",5.500%,6.183%,"$4,667",0.49,"$2,587",Conventional,Retail
"New American Funding, LLC.",5.500%,6.471%,"$6,083",0.491,"$2,592",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.500%,5.781%,"$2,998",0.838,"$16,477",VA,Retail
"New American Funding, LLC.",5.500%,5.913%,"$2,998",2.456,"$24,320",VA,Retail
Sage Home Loans,5.624%,5.890%,"$3,104.47",0.689,"$15,068.14",VA,Retail
Us Bank,5.625%,5.903%,"$4,349.3",0.913,"$8,642.76",Conventional,Retail
"SunnyHill Financial, Inc.",5.625%,5.839%,"$3,039.47",0,"$12,188.28",VA,Retail
Alliant Credit Union,5.625%,5.891%,"$3,039.47",0.698,"$15,037.44",VA,Retail
"Mutual of Omaha Mortgage, Inc.",5.625%,6.038%,"$4,077",0,"$4,901",Conventional,Retail
"New American Funding, LLC.",5.625%,5.917%,"$2,849",1.979,"$29,981.05",Conventional,Retail
Pennymac TPO,5.625%,6.203%,"$3,790.513",-0.23,"$7,445.2",VA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.203%,"$3,790.513",-0.23,"$7,445.2",VA,Wholesale
NexBank,5.625%,6.261%,"$3,790.513",0.45678999999999803,"$9,882",VA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.262%,"$3,790.513",0.60938,"$9,896.2",VA,Wholesale
NewRez LLC,5.625%,6.278%,"$3,790.513",-0.026,"$10,559.6",VA,Wholesale
CMG Financial,5.625%,6.280%,"$3,790.513",0.501,"$10,668.7",VA,Wholesale
Kind Lending,5.625%,6.285%,"$3,790.513",0.65998,"$10,854",VA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.285%,"$3,790.513",0.65998,"$10,854",VA,Wholesale
Loan Factory Direct - Rocket,5.625%,6.364%,"$3,790.513",0.6269999999999953,"$14,083",VA,Wholesale
Rocket Pro,5.625%,6.364%,"$3,790.513",0.6269999999999953,"$14,083",VA,Wholesale
AFR Wholesale,5.625%,6.423%,"$3,790.513",1.7579999999999956,"$16,510.2",VA,Wholesale
