# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
PenFed Credit Union,5.000%,6.100%,"$3,958",0.5,"$13,256",FHA,Retail
"Tomo Mortgage, LLC.",5.125%,5.253%,"$3,991",0.845,"$13,048.325",Conventional,Retail
Bison State Bank,5.125%,5.254%,"$3,991",0.852,"$13,118.36",Conventional,Retail
Sebonic,5.125%,5.374%,"$3,991",1.644,"$21,046.32",Conventional,Retail
NewRez LLC,5.125%,5.646%,"$4,060.418",-0.696,"$2,082.9",FHA,Wholesale
NexBank,5.125%,5.683%,"$4,060.418",-0.7544999999999931,"$3,277.1",FHA,Wholesale
Loan Factory Direct - PennyMac,5.125%,5.721%,"$4,060.418",-0.314,"$4,501.8",FHA,Wholesale
Pennymac TPO,5.125%,5.721%,"$4,060.418",-0.314,"$4,501.8",FHA,Wholesale
Eleven Mortgage,5.125%,5.732%,"$4,060.418",0.9616,"$4,835.9",FHA,Wholesale
Rocket Pro,5.125%,5.752%,"$4,060.418",-0.1700000000000017,"$5,489.9",FHA,Wholesale
"VIP Mortgage, Inc.",5.125%,5.755%,"$4,060.418",-0.43174999999999386,"$5,582.8",FHA,Wholesale
Click n' Close,5.125%,5.757%,"$4,060.418",-0.35675,"$5,659.1",FHA,Wholesale
AFR Wholesale,5.125%,5.768%,"$4,060.418",0.06399999999999295,"$6,009.2",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.125%,5.785%,"$4,060.418",-0.015,"$6,533.8",FHA,Wholesale
Loan United Wholesale,5.125%,5.805%,"$4,060.418",0.0379999999999967,"$7,185.6",FHA,Wholesale
Plaza Home Mortgage Inc.,5.125%,5.815%,"$4,060.418",0.19594,"$7,480.7",FHA,Wholesale
TPO GO,5.125%,5.840%,"$4,060.418",0.6779999999999973,"$8,280.6",FHA,Wholesale
Jet Advantage Mortgage,5.125%,5.843%,"$4,060.418",0.7210000000000036,"$8,372.3",FHA,Wholesale
Forward Lending,5.125%,5.843%,"$4,060.418",0.7210000000000036,"$8,372.3",FHA,Wholesale
AD Mortgage,5.125%,5.852%,"$4,060.418",0.25199999999999534,"$8,657.4",FHA,Wholesale
Kind Lending,5.125%,5.900%,"$4,060.418",0.79708,"$10,160.1",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.125%,5.900%,"$4,060.418",0.79708,"$10,160.1",FHA,Wholesale
Sun West Mtg Co Wholesale,5.125%,5.902%,"$4,060.418",0.48813,"$10,241.8",FHA,Wholesale
HomeBridge Wholesale,5.125%,5.945%,"$4,060.418",1.375,"$11,575.5",FHA,Wholesale
JMAC Lending Inc.,5.125%,6.006%,"$4,060.418",1.1266,"$13,493.3",FHA,Wholesale
Windsor Mortgage Solutions,5.125%,6.203%,"$4,060.418",2.191999999999993,"$19,555.5",FHA,Wholesale
NewRez LLC,5.125%,5.677%,"$4,122.278",-0.706,"$1,754.2",VA,Wholesale
Rocket Pro,5.125%,5.760%,"$4,122.278",-0.26200000000000045,"$4,401.3",VA,Wholesale
Loan Factory Direct - Rocket,5.125%,5.760%,"$4,122.278",-0.26200000000000045,"$4,401.3",VA,Wholesale
"VIP Mortgage, Inc.",5.125%,5.776%,"$4,122.278",-0.441749999999999,"$4,919.6",VA,Wholesale
Pennymac TPO,5.125%,5.794%,"$4,122.278",-0.285,"$5,497.4",VA,Wholesale
Loan Factory Direct - PennyMac,5.125%,5.794%,"$4,122.278",-0.285,"$5,497.4",VA,Wholesale
NexBank,5.125%,5.799%,"$4,122.278",-0.2949700000000064,"$5,652.7",VA,Wholesale
Click n' Close,5.125%,5.800%,"$4,122.278",-0.35675,"$5,695.1",VA,Wholesale
Eleven Mortgage,5.125%,5.819%,"$4,122.278",1.1357,"$6,276.5",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.125%,5.869%,"$4,122.278",0.235,"$7,875.6",VA,Wholesale
Plaza Home Mortgage Inc.,5.125%,5.877%,"$4,122.278",0.30594,"$8,113.2",VA,Wholesale
Kind Lending,5.125%,5.945%,"$4,122.278",0.74708,"$10,264.6",VA,Wholesale
Loan Factory Direct - Kind Lending,5.125%,5.945%,"$4,122.278",0.74708,"$10,264.6",VA,Wholesale
Jet Advantage Mortgage,5.125%,5.945%,"$4,122.278",1.0759999999999934,"$10,284.9",VA,Wholesale
Forward Lending,5.125%,5.945%,"$4,122.278",1.0759999999999934,"$10,284.9",VA,Wholesale
Loan United Wholesale,5.125%,5.946%,"$4,122.278",0.35299999999999443,"$10,295.3",VA,Wholesale
AFR Wholesale,5.125%,5.949%,"$4,122.278",0.8059999999999974,"$10,403.9",VA,Wholesale
Sun West Mtg Co Wholesale,5.125%,5.968%,"$4,122.278",0.48813,"$10,993.9",VA,Wholesale
Union Home Mortgage,5.125%,6.109%,"$4,122.278",1.4860000000000042,"$15,377.6",VA,Wholesale
JMAC Lending Inc.,5.125%,6.132%,"$4,122.278",1.6007,"$16,099.8",VA,Wholesale
Windsor Mortgage Solutions,5.125%,6.244%,"$4,122.278",2.391999999999996,"$19,544.7",VA,Wholesale
PenFed Credit Union,5.125%,6.150%,"$3,991",0,"$10,754",FHA,Retail
"Tomo Mortgage, LLC.",5.125%,5.253%,"$3,991",0.845,"$4,229",Conventional,Retail
Bison State Bank,5.125%,5.254%,"$3,991",0.852,"$4,264",Conventional,Retail
"Reliant Home Funding, Inc.",5.125%,5.316%,"$3,991",0.859,"$6,294",Conventional,Retail
Sebonic,5.125%,5.374%,"$3,991",1.644,"$8,228",Conventional,Retail
Bison State Bank,5.125%,5.478%,"$2,726",2.773,"$20,135",VA,Retail
First Federal Bank,5.125%,5.482%,"$2,726",2.826,"$20,400",VA,Retail
Optimum First Mortgage,5.249%,5.548%,"$2,763.47",1.622,"$16,369.36",VA,Retail
Mutual of Omaha Mortgage,5.250%,5.954%,"$2,972.32",1.193,"$16,967.72",FHA,Retail
Mutual of Omaha Mortgage,5.250%,5.514%,"$2,763.78",1.198,"$14,490.24",VA,Retail
"SunnyHill Financial, Inc.",5.250%,5.524%,"$2,763.78",1.529,"$15,003.9",VA,Retail
Alliant Credit Union,5.250%,5.545%,"$2,763.78",1.972,"$16,126.11",VA,Retail
Chase Bank,5.250%,5.460%,"$5,496.744",1.061000999000999,"$6,805.31",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.250%,5.356%,"$4,023",0.554,"$10,835.87",Conventional,Retail
NewRez LLC,5.250%,5.684%,"$4,093.812",-1.245,$-713,FHA,Wholesale
AFR Wholesale,5.250%,5.726%,"$4,093.812",-0.9890000000000043,$646.7,FHA,Wholesale
NexBank,5.250%,5.775%,"$4,093.812",-0.967250000000007,"$2,193.7",FHA,Wholesale
Rocket Pro,5.250%,5.776%,"$4,093.812",-0.8089999999999975,"$2,235.7",FHA,Wholesale
Eleven Mortgage,5.250%,5.804%,"$4,093.812",-0.98348,"$3,129.5",FHA,Wholesale
Jet Advantage Mortgage,5.250%,5.829%,"$4,093.812",-0.1490000000000009,"$3,941.7",FHA,Wholesale
Forward Lending,5.250%,5.829%,"$4,093.812",-0.1490000000000009,"$3,941.7",FHA,Wholesale
Click n' Close,5.250%,5.830%,"$4,093.812",-0.6878,"$3,973.2",FHA,Wholesale
"VIP Mortgage, Inc.",5.250%,5.835%,"$4,093.812",-0.7217500000000001,"$4,105.9",FHA,Wholesale
Sun West Mtg Co Wholesale,5.250%,5.847%,"$4,093.812",-0.64134,"$4,489.9",FHA,Wholesale
Loan Factory Direct - PennyMac,5.250%,5.860%,"$4,093.812",-0.231,"$4,924.5",FHA,Wholesale
Pennymac TPO,5.250%,5.860%,"$4,093.812",-0.231,"$4,924.5",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.250%,5.866%,"$4,093.812",-0.293,"$5,118.1",FHA,Wholesale
Loan United Wholesale,5.250%,5.867%,"$4,093.812",-0.3640000000000043,"$5,138.4",FHA,Wholesale
Plaza Home Mortgage Inc.,5.250%,5.893%,"$4,093.812",-0.10458,"$5,950.3",FHA,Wholesale
Kind Lending,5.250%,5.899%,"$4,093.812",0.01025,"$6,153.1",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.250%,5.899%,"$4,093.812",0.01025,"$6,153.1",FHA,Wholesale
TPO GO,5.250%,5.904%,"$4,093.812",0.2890000000000015,"$6,299.6",FHA,Wholesale
AD Mortgage,5.250%,5.906%,"$4,093.812",-0.19700000000000273,"$6,370.9",FHA,Wholesale
HomeBridge Wholesale,5.250%,5.945%,"$4,093.812",0.594,"$7,598.2",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.250%,5.950%,"$4,093.812",0,"$7,756",FHA,Wholesale
JMAC Lending Inc.,5.250%,6.161%,"$4,093.812",1.2948,"$14,349.9",FHA,Wholesale
Open Mortgage,5.250%,6.201%,"$4,093.812",1.537,"$15,583.3",FHA,Wholesale
Windsor Mortgage Solutions,5.250%,6.288%,"$4,093.812",1.9320000000000022,"$18,231.5",FHA,Wholesale
NewRez LLC,5.250%,5.716%,"$4,156.18",-1.255,"$-1,084.3",VA,Wholesale
Rocket Pro,5.250%,5.805%,"$4,156.18",-0.7690000000000055,"$1,780",VA,Wholesale
Loan Factory Direct - Rocket,5.250%,5.805%,"$4,156.18",-0.7690000000000055,"$1,780",VA,Wholesale
"VIP Mortgage, Inc.",5.250%,5.856%,"$4,156.18",-0.7317500000000052,"$3,420.2",VA,Wholesale
Eleven Mortgage,5.250%,5.862%,"$4,156.18",-0.84348,"$3,592.3",VA,Wholesale
Click n' Close,5.250%,5.874%,"$4,156.18",-0.6878,"$3,983.6",VA,Wholesale
NexBank,5.250%,5.882%,"$4,156.18",-0.5704499999999939,"$4,228.4",VA,Wholesale
Pennymac TPO,5.250%,5.895%,"$4,156.18",-0.446,"$4,665",VA,Wholesale
Loan Factory Direct - PennyMac,5.250%,5.895%,"$4,156.18",-0.446,"$4,665",VA,Wholesale
Loan United Wholesale,5.250%,5.905%,"$4,156.18",-0.6779999999999973,"$4,964.8",VA,Wholesale
Jet Advantage Mortgage,5.250%,5.910%,"$4,156.18",0.08100000000000307,"$5,140.6",VA,Wholesale
Forward Lending,5.250%,5.910%,"$4,156.18",0.08100000000000307,"$5,140.6",VA,Wholesale
Sun West Mtg Co Wholesale,5.250%,5.911%,"$4,156.18",-0.64134,"$5,154.4",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.250%,5.943%,"$4,156.18",-0.093,"$6,179.8",VA,Wholesale
Plaza Home Mortgage Inc.,5.250%,5.955%,"$4,156.18",0.00542,"$6,559.4",VA,Wholesale
AFR Wholesale,5.250%,5.962%,"$4,156.18",0.10200000000000387,"$6,764.1",VA,Wholesale
Union Home Mortgage,5.250%,5.989%,"$4,156.18",-0.013999999999995794,"$7,622.3",VA,Wholesale
Kind Lending,5.250%,6.009%,"$4,156.18",0.35943,"$8,260.4",VA,Wholesale
Loan Factory Direct - Kind Lending,5.250%,6.009%,"$4,156.18",0.35943,"$8,260.4",VA,Wholesale
The Loan Store LLC,5.250%,6.109%,"$4,156.18",0.6400000000000006,"$11,391.3",VA,Wholesale
