# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
"Paramount Residential Mortgage Group, Inc.",5.375%,6.051%,"$4,190.24",-0.216,"$5,543.8",VA,Wholesale
Kind Lending,5.375%,6.060%,"$4,190.24",-0.10725,"$5,847.6",VA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.060%,"$4,190.24",-0.10725,"$5,847.6",VA,Wholesale
Union Home Mortgage,5.375%,6.116%,"$4,190.24",-0.013999999999995794,"$7,622.3",VA,Wholesale
The Loan Store LLC,5.375%,6.216%,"$4,190.24",0.5150000000000006,"$10,745",VA,Wholesale
JMAC Lending Inc.,5.375%,6.309%,"$4,190.24",1.1193,"$13,610.9",VA,Wholesale
Open Mortgage,5.375%,6.394%,"$4,190.24",1.628,"$16,240.9",VA,Wholesale
Windsor Mortgage Solutions,5.375%,6.522%,"$4,190.24",2.508880000000005,"$20,149",VA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.321%,"$3,467.265",0.99812,"$9,019.6",FHA,Wholesale
CMG Financial,5.375%,6.337%,"$3,467.265",1.039,"$9,609.7",FHA,Wholesale
Pennymac TPO,5.375%,6.356%,"$3,467.265",0.835,"$10,353.2",FHA,Wholesale
Loan Factory Direct - PennyMac,5.375%,6.356%,"$3,467.265",0.835,"$10,353.2",FHA,Wholesale
Loan United Wholesale,5.375%,6.381%,"$3,467.265",0.347999999999999,"$11,310.6",FHA,Wholesale
NewRez LLC,5.375%,6.401%,"$3,467.265",1.262,"$12,054.1",FHA,Wholesale
AFR Wholesale,5.375%,6.402%,"$3,467.265",1.2644599999999997,"$12,122.7",FHA,Wholesale
Eleven Mortgage,5.375%,6.413%,"$3,467.265",3.3329,"$12,532.4",FHA,Wholesale
NexBank,5.375%,6.418%,"$3,467.265",1.0957499999999953,"$12,699.7",FHA,Wholesale
Open Mortgage,5.375%,6.424%,"$3,467.265",1.022,"$12,960.6",FHA,Wholesale
Rocket Pro,5.375%,6.425%,"$3,467.265",1.2999999999999972,"$12,976",FHA,Wholesale
"VIP Mortgage, Inc.",5.375%,6.440%,"$3,467.265",1.1361899999999991,"$13,567.6",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.442%,"$3,467.265",1.48012,"$13,638.5",FHA,Wholesale
Kind Lending,5.375%,6.442%,"$3,467.265",1.48012,"$13,638.5",FHA,Wholesale
AD Mortgage,5.375%,6.463%,"$3,467.265",1.3840000000000003,"$14,422.2",FHA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.484%,"$3,467.265",1.21332,"$15,208.1",FHA,Wholesale
Jet Advantage Mortgage,5.375%,6.487%,"$3,467.265",2.0859999999999985,"$15,323.6",FHA,Wholesale
Forward Lending,5.375%,6.487%,"$3,467.265",2.0859999999999985,"$15,323.6",FHA,Wholesale
HomeBridge Wholesale,5.375%,6.488%,"$3,467.265",1.621,"$15,374.6",FHA,Wholesale
Loan United Wholesale,5.375%,6.026%,"$3,520.089",0.3289999999999935,"$10,171.2",VA,Wholesale
Pennymac TPO,5.375%,6.040%,"$3,520.089",0.731,"$10,750.3",VA,Wholesale
Loan Factory Direct - PennyMac,5.375%,6.040%,"$3,520.089",0.731,"$10,750.3",VA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.061%,"$3,520.089",0.99812,"$11,562.5",VA,Wholesale
CMG Financial,5.375%,6.066%,"$3,520.089",1.289,"$11,773.9",VA,Wholesale
NewRez LLC,5.375%,6.069%,"$3,520.089",1.252,"$11,877.3",VA,Wholesale
Eleven Mortgage,5.375%,6.096%,"$3,520.089",3.3238,"$12,936.2",VA,Wholesale
NexBank,5.375%,6.100%,"$3,520.089",1.1438700000000068,"$13,091.7",VA,Wholesale
Loan Factory Direct - Rocket,5.375%,6.103%,"$3,520.089",1.441999999999993,"$13,211.3",VA,Wholesale
Rocket Pro,5.375%,6.103%,"$3,520.089",1.441999999999993,"$13,211.3",VA,Wholesale
Open Mortgage,5.375%,6.133%,"$3,520.089",1.272,"$14,400.3",VA,Wholesale
The Loan Store LLC,5.375%,6.139%,"$3,520.089",1.2650000000000006,"$14,622.7",VA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.174%,"$3,520.089",1.32332,"$15,958.3",VA,Wholesale
Kind Lending,5.375%,6.176%,"$3,520.089",1.87012,"$16,070.9",VA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.176%,"$3,520.089",1.87012,"$16,070.9",VA,Wholesale
Jet Advantage Mortgage,5.375%,6.193%,"$3,520.089",2.3160000000000025,"$16,695.9",VA,Wholesale
Forward Lending,5.375%,6.193%,"$3,520.089",2.3160000000000025,"$16,695.9",VA,Wholesale
AFR Wholesale,5.375%,6.223%,"$3,520.089",2.2489999999999952,"$17,864.4",VA,Wholesale
Loan United Wholesale,5.375%,6.078%,"$2,851.698",0.347999999999999,"$8,764.3",FHA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.083%,"$2,851.698",0.99812,"$9,019.6",FHA,Wholesale
AmWest Funding Corp,5.375%,6.093%,"$2,851.698",0.477,"$9,548.7",FHA,Wholesale
CMG Financial,5.375%,6.094%,"$2,851.698",1.039,"$9,609.7",FHA,Wholesale
Pennymac TPO,5.375%,6.109%,"$2,851.698",0.835,"$10,353.2",FHA,Wholesale
Loan Factory Direct - PennyMac,5.375%,6.109%,"$2,851.698",0.835,"$10,353.2",FHA,Wholesale
NexBank,5.375%,6.120%,"$2,851.698",0.7462100000000049,"$10,919.6",FHA,Wholesale
Power TPO,5.375%,6.121%,"$2,851.698",1.007000000000005,"$10,974.5",FHA,Wholesale
AFR Wholesale,5.375%,6.127%,"$2,851.698",1.1029999999999944,"$11,300.4",FHA,Wholesale
Rocket Pro,5.375%,6.135%,"$2,851.698",1.0430000000000064,"$11,667.2",FHA,Wholesale
Open Mortgage,5.375%,6.135%,"$2,851.698",0.772,"$11,687.5",FHA,Wholesale
Kind Lending,5.375%,6.137%,"$2,851.698",1.11625,"$11,785.5",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,6.137%,"$2,851.698",1.11625,"$11,785.5",FHA,Wholesale
AD Mortgage,5.375%,6.140%,"$2,851.698",0.9009999999999962,"$11,962.5",FHA,Wholesale
NewRez LLC,5.375%,6.142%,"$2,851.698",1.262,"$12,054.1",FHA,Wholesale
Eleven Mortgage,5.375%,6.150%,"$2,851.698",0.84562,"$12,444.4",FHA,Wholesale
Jet Advantage Mortgage,5.375%,6.154%,"$2,851.698",1.561000000000007,"$12,650",FHA,Wholesale
Forward Lending,5.375%,6.154%,"$2,851.698",1.561000000000007,"$12,650",FHA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.154%,"$2,851.698",1.21332,"$12,661.8",FHA,Wholesale
Windsor Mortgage Solutions,5.375%,6.155%,"$2,851.698",0.8506200000000064,"$12,724.5",FHA,Wholesale
The Loan Store LLC,5.375%,6.157%,"$2,851.698",0.938999999999993,"$12,792.6",FHA,Wholesale
HomeBridge Wholesale,5.375%,6.158%,"$2,851.698",1.621,"$12,828.3",FHA,Wholesale
Orion Lending,5.375%,6.162%,"$2,851.698",1.792,"$13,062.5",FHA,Wholesale
TPO GO,5.375%,6.163%,"$2,851.698",1.6290000000000049,"$13,123.6",FHA,Wholesale
Click n' Close,5.375%,6.169%,"$2,851.698",1.11335,"$13,400.4",FHA,Wholesale
"VIP Mortgage, Inc.",5.375%,6.172%,"$2,851.698",1.1361899999999991,"$13,567.6",FHA,Wholesale
JMAC Lending Inc.,5.375%,6.175%,"$2,851.698",1.36165,"$13,735.5",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.375%,6.179%,"$2,851.698",1.438,"$13,933.3",FHA,Wholesale
Union Home Mortgage,5.375%,6.331%,"$2,851.698",2.7180000000000035,"$21,470.3",FHA,Wholesale
Loan United Wholesale,5.375%,5.858%,"$2,895.144",0.3289999999999935,"$10,171.2",VA,Wholesale
Pennymac TPO,5.375%,5.869%,"$2,895.144",0.731,"$10,750.3",VA,Wholesale
Loan Factory Direct - PennyMac,5.375%,5.869%,"$2,895.144",0.731,"$10,750.3",VA,Wholesale
NexBank,5.375%,5.881%,"$2,895.144",0.8162200000000013,"$11,397.7",VA,Wholesale
Sun West Mtg Co Wholesale,5.375%,5.884%,"$2,895.144",0.99812,"$11,562.5",VA,Wholesale
CMG Financial,5.375%,5.888%,"$2,895.144",1.289,"$11,773.9",VA,Wholesale
NewRez LLC,5.375%,5.890%,"$2,895.144",1.252,"$11,877.3",VA,Wholesale
Rocket Pro,5.375%,5.893%,"$2,895.144",1.2169999999999987,"$12,048",VA,Wholesale
Loan Factory Direct - Rocket,5.375%,5.893%,"$2,895.144",1.2169999999999987,"$12,048",VA,Wholesale
Eleven Mortgage,5.375%,5.901%,"$2,895.144",0.87312,"$12,467.4",VA,Wholesale
AFR Wholesale,5.375%,5.909%,"$2,895.144",1.2830000000000013,"$12,870",VA,Wholesale
The Loan Store LLC,5.375%,5.910%,"$2,895.144",0.9309999999999974,"$12,895.8",VA,Wholesale
"VIP Mortgage, Inc.",5.375%,5.911%,"$2,895.144",1.1119999999999948,"$12,952.7",VA,Wholesale
Open Mortgage,5.375%,5.914%,"$2,895.144",1.022,"$13,107.8",VA,Wholesale
Plaza Home Mortgage Inc.,5.375%,5.919%,"$2,895.144",1.32332,"$13,373.2",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.375%,5.920%,"$2,895.144",1.315,"$13,459.4",VA,Wholesale
Jet Advantage Mortgage,5.375%,5.920%,"$2,895.144",1.6910000000000025,"$13,464.5",VA,Wholesale
Forward Lending,5.375%,5.920%,"$2,895.144",1.6910000000000025,"$13,464.5",VA,Wholesale
TPO GO,5.375%,5.922%,"$2,895.144",1.679000000000002,"$13,531.8",VA,Wholesale
Windsor Mortgage Solutions,5.375%,5.922%,"$2,895.144",1.230630000000005,"$13,540.3",VA,Wholesale
Click n' Close,5.375%,5.923%,"$2,895.144",1.12507,"$13,614.9",VA,Wholesale
Power TPO,5.375%,5.924%,"$2,895.144",1.007000000000005,"$13,676.6",VA,Wholesale
Kind Lending,5.375%,5.929%,"$2,895.144",1.45225,"$13,910.5",VA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,5.929%,"$2,895.144",1.45225,"$13,910.5",VA,Wholesale
Orion Lending,5.375%,5.933%,"$2,895.144",1.842,"$14,116",VA,Wholesale
JMAC Lending Inc.,5.375%,5.955%,"$2,895.144",1.69033,"$15,270.7",VA,Wholesale
Union Home Mortgage,5.375%,6.080%,"$2,895.144",2.7180000000000035,"$21,747.2",VA,Wholesale
Guaranteed Rate,5.375%,6.276%,"$3,058.94",1.703,"$25,761.28",FHA,Retail
Guaranteed Rate,5.375%,5.876%,"$4,188.66",-0.121,"$17,704.82",FHA,Retail
Sebonic,5.375%,5.522%,"$4,057",0.958,"$4,795",Conventional,Retail
"Reliant Home Funding, Inc.",5.375%,5.733%,"$4,057",0.699,"$11,750",VA,Retail
Bison State Bank,5.375%,5.618%,"$2,803",1.47,"$13,614",VA,Retail
First Federal Bank,5.375%,5.626%,"$2,803",1.569,"$14,109",VA,Retail
"Tomo Mortgage, LLC.",5.375%,5.628%,"$2,803",1.589,"$14,209",VA,Retail
First Federal Bank Mortgage Lenders,5.490%,5.693%,"$2,875",0.969,"$11,166",VA,Retail
Garden State Home Loans - HE,5.490%,5.758%,"$2,838.64",1.483,"$14,486.67",VA,Retail
Tomo,5.490%,6.191%,"$3,097",1.687,"$18,849",FHA,Retail
Bison State Bank,5.490%,5.490%,"$4,087",0,"$4,590.1",Conventional,Retail
"Tomo Mortgage, LLC.",5.490%,5.490%,"$4,087",0,"$4,590.1",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.490%,5.512%,"$4,087",0,"$5,290.1",Conventional,Retail
Bison State Bank,5.490%,5.689%,"$2,839",0.96,"$20,455.9",Conventional,Retail
"Tomo Mortgage, LLC.",5.490%,5.490%,"$4,087",0,N/A,Conventional,Retail
Bison State Bank,5.490%,5.490%,"$4,087",0,N/A,Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.490%,5.512%,"$4,087",0,$700,Conventional,Retail
Bison State Bank,5.490%,5.689%,"$2,839",0.96,"$11,061",VA,Retail
"Reliant Home Funding, Inc.",5.490%,6.863%,"$2,839",1.787,"$19,698",FHA,Retail
Optimum First Mortgage,5.499%,5.688%,"$2,841.47",0.406,"$10,283.28",VA,Retail
"SunnyHill Financial, Inc.",5.500%,5.675%,"$2,841.78",0.435,"$9,528.43",VA,Retail
Alliant Credit Union,5.500%,5.707%,"$2,841.78",0.999,"$11,256.25",VA,Retail
Alliant Credit Union,5.500%,6.224%,"$3,050.32",1.593,"$17,681.72",FHA,Retail
Us Bank,5.500%,5.854%,"$5,431.74",0.736,"$8,719.3",Conventional,Retail
PenFed Credit Union,5.500%,5.722%,"$4,090",0,"$11,841.1",Conventional,Retail
Everstream Mortgage,5.500%,5.600%,"$4,089.503",0.36010000000000275,"$3,250.4",Conventional,Wholesale
Open Mortgage,5.500%,5.751%,"$4,089.503",-0.047,"$8,069.8",Conventional,Wholesale
Sun West Mtg Co Wholesale,5.500%,5.892%,"$4,089.503",-1.2822,"$12,523.2",Conventional,Wholesale
NewRez LLC,5.500%,5.943%,"$4,089.503",-0.726,"$14,095.8",Conventional,Wholesale
BluePoint Mortgage,5.500%,5.947%,"$4,089.503",-1.19,"$14,236",Conventional,Wholesale
Provident Funding,5.500%,5.958%,"$4,089.503",-1.375,"$14,561.2",Conventional,Wholesale
"VIP Mortgage, Inc.",5.500%,5.961%,"$4,089.503",-0.9711900000000071,"$14,680.4",Conventional,Wholesale
Click n' Close,5.500%,5.968%,"$4,089.503",-1.02733,"$14,899.9",Conventional,Wholesale
Power TPO,5.500%,5.970%,"$4,089.503",-0.9770000000000039,"$14,951.6",Conventional,Wholesale
New Wave Lending Group,5.500%,5.978%,"$4,089.503",-1,"$15,186.9",Conventional,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.500%,5.978%,"$4,089.503",-1,"$15,186.9",Conventional,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.500%,5.980%,"$4,089.503",-0.634,"$15,266.9",Conventional,Wholesale
Loan United Wholesale,5.500%,5.984%,"$4,089.503",-0.8340000000000032,"$15,392.1",Conventional,Wholesale
The Loan Store LLC,5.500%,5.985%,"$4,089.503",-1.156000000000006,"$15,407.1",Conventional,Wholesale
Loan Factory Direct - Rocket,5.500%,5.986%,"$4,089.503",-0.5460000000000065,"$15,457.2",Conventional,Wholesale
Rocket Pro,5.500%,5.986%,"$4,089.503",-0.5460000000000065,"$15,457.2",Conventional,Wholesale
AmWest Funding Corp,5.500%,5.988%,"$4,089.503",-0.934,"$15,517.2",Conventional,Wholesale
AD Mortgage,5.500%,5.989%,"$4,089.503",-0.9309999999999974,"$15,532.2",Conventional,Wholesale
Plaza Home Mortgage Inc.,5.500%,5.996%,"$4,089.503",-0.76271,"$15,748.9",Conventional,Wholesale
AFR Wholesale,5.500%,5.996%,"$4,089.503",-0.722999999999999,"$15,767.5",Conventional,Wholesale
Eleven Mortgage,5.500%,6.018%,"$4,089.503",0.327,"$16,453.1",Conventional,Wholesale
Loan Factory Direct - PennyMac,5.500%,6.020%,"$4,089.503",-0.746,"$16,508.2",Conventional,Wholesale
Pennymac TPO,5.500%,6.020%,"$4,089.503",-0.746,"$16,508.2",Conventional,Wholesale
Nations Direct Mortgage,5.500%,6.022%,"$4,089.503",-0.524,"$16,568.3",Conventional,Wholesale
Kind Lending,5.500%,6.023%,"$4,089.503",-0.51785,"$16,599.1",Conventional,Wholesale
Loan Factory Direct - Kind Lending,5.500%,6.023%,"$4,089.503",-0.51785,"$16,599.1",Conventional,Wholesale
JMAC Lending Inc.,5.500%,6.039%,"$4,089.503",-0.61925,"$17,092.6",Conventional,Wholesale
NexBank,5.500%,6.054%,"$4,089.503",-0.6322799999999944,"$17,562.8",Conventional,Wholesale
Windsor Mortgage Solutions,5.500%,6.061%,"$4,089.503",-0.48664999999999736,"$17,756.2",Conventional,Wholesale
Orion Lending,5.500%,6.082%,"$4,089.503",-0.506,"$18,410.1",Conventional,Wholesale
TPO GO,5.500%,6.098%,"$4,089.503",-0.03100000000000591,"$18,910.5",Conventional,Wholesale
HomeBridge Wholesale,5.500%,6.126%,"$4,089.503",-0.088,"$19,751.5",Conventional,Wholesale
Union Home Mortgage,5.500%,6.135%,"$4,089.503",-0.027000000000001023,"$20,056.8",Conventional,Wholesale
NewRez LLC,5.500%,5.895%,"$4,161.063",-1.497,"$-1,996.3",FHA,Wholesale
AFR Wholesale,5.500%,5.903%,"$4,161.063",-1.4549999999999983,"$-1,726.4",FHA,Wholesale
Loan Factory Direct - PennyMac,5.500%,5.934%,"$4,161.063",-1.344,$-743.5,FHA,Wholesale
Pennymac TPO,5.500%,5.934%,"$4,161.063",-1.344,$-743.5,FHA,Wholesale
Rocket Pro,5.500%,5.959%,"$4,161.063",-1.2390000000000043,$45.9,FHA,Wholesale
"VIP Mortgage, Inc.",5.500%,5.961%,"$4,161.063",-1.507000000000005,$107,FHA,Wholesale
Eleven Mortgage,5.500%,5.974%,"$4,161.063",0.1171,$535.2,FHA,Wholesale
Click n' Close,5.500%,5.974%,"$4,161.063",-1.36183,$540.7,FHA,Wholesale
Plaza Home Mortgage Inc.,5.500%,5.996%,"$4,161.063",-1.0274,"$1,250.8",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.500%,5.998%,"$4,161.063",-0.93975,"$1,315.1",FHA,Wholesale
Kind Lending,5.500%,5.998%,"$4,161.063",-0.93975,"$1,315.1",FHA,Wholesale
AD Mortgage,5.500%,6.013%,"$4,161.063",-1.0999999999999943,"$1,772.3",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.500%,6.024%,"$4,161.063",-0.881,"$2,123.6",FHA,Wholesale
Jet Advantage Mortgage,5.500%,6.032%,"$4,161.063",-0.4539999999999935,"$2,388.5",FHA,Wholesale
Forward Lending,5.500%,6.032%,"$4,161.063",-0.4539999999999935,"$2,388.5",FHA,Wholesale
TPO GO,5.500%,6.043%,"$4,161.063",-0.4129999999999967,"$2,724.6",FHA,Wholesale
Loan United Wholesale,5.500%,6.044%,"$4,161.063",-0.8299999999999983,"$2,765.3",FHA,Wholesale
Sun West Mtg Co Wholesale,5.500%,6.077%,"$4,161.063",-0.77335,"$3,817.7",FHA,Wholesale
HomeBridge Wholesale,5.500%,6.096%,"$4,161.063",-0.031,"$4,415.3",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.500%,6.121%,"$4,161.063",-0.5,"$5,209.7",FHA,Wholesale
JMAC Lending Inc.,5.500%,6.248%,"$4,161.063",0.2821,"$9,192.6",FHA,Wholesale
Open Mortgage,5.500%,6.358%,"$4,161.063",0.95,"$12,594",FHA,Wholesale
AmWest Funding Corp,5.500%,6.449%,"$4,161.063",1.625,"$15,394.9",FHA,Wholesale
Windsor Mortgage Solutions,5.500%,6.534%,"$4,161.063",1.8788700000000063,"$17,960.9",FHA,Wholesale
Orion Lending,5.500%,6.628%,"$4,161.063",3.315,"$20,818.5",FHA,Wholesale
NewRez LLC,5.500%,5.929%,"$4,224.456",-1.507,"$-2,387.1",VA,Wholesale
Rocket Pro,5.500%,5.972%,"$4,224.456",-1.308000000000007,"$-1,006.7",VA,Wholesale
Loan Factory Direct - Rocket,5.500%,5.972%,"$4,224.456",-1.308000000000007,"$-1,006.7",VA,Wholesale
"VIP Mortgage, Inc.",5.500%,5.984%,"$4,224.456",-1.516999999999996,$-639.6,VA,Wholesale
Loan Factory Direct - PennyMac,5.500%,6.008%,"$4,224.456",-1.322,$135.9,VA,Wholesale
Pennymac TPO,5.500%,6.008%,"$4,224.456",-1.322,$135.9,VA,Wholesale
Click n' Close,5.500%,6.019%,"$4,224.456",-1.36183,$498.7,VA,Wholesale
Plaza Home Mortgage Inc.,5.500%,6.059%,"$4,224.456",-0.9174,"$1,788.3",VA,Wholesale
Eleven Mortgage,5.500%,6.062%,"$4,224.456",0.2844,"$1,875.1",VA,Wholesale
Kind Lending,5.500%,6.106%,"$4,224.456",-0.60514,"$3,273.4",VA,Wholesale
Loan Factory Direct - Kind Lending,5.500%,6.106%,"$4,224.456",-0.60514,"$3,273.4",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.500%,6.110%,"$4,224.456",-0.631,"$3,398.2",VA,Wholesale
Loan United Wholesale,5.500%,6.113%,"$4,224.456",-0.9629999999999939,"$3,491.3",VA,Wholesale
Jet Advantage Mortgage,5.500%,6.115%,"$4,224.456",-0.22400000000000375,"$3,563.7",VA,Wholesale
Forward Lending,5.500%,6.115%,"$4,224.456",-0.22400000000000375,"$3,563.7",VA,Wholesale
AFR Wholesale,5.500%,6.136%,"$4,224.456",-0.38800000000000523,"$4,230.7",VA,Wholesale
Sun West Mtg Co Wholesale,5.500%,6.144%,"$4,224.456",-0.77335,"$4,471.9",VA,Wholesale
Union Home Mortgage,5.500%,6.244%,"$4,224.456",-0.013999999999995794,"$7,622.3",VA,Wholesale
The Loan Store LLC,5.500%,6.323%,"$4,224.456",0.39000000000000057,"$10,098.8",VA,Wholesale
JMAC Lending Inc.,5.500%,6.375%,"$4,224.456",0.7494,"$11,698.4",VA,Wholesale
Open Mortgage,5.500%,6.450%,"$4,224.456",1.2,"$14,028.1",VA,Wholesale
Windsor Mortgage Solutions,5.500%,6.578%,"$4,224.456",2.078869999999995,"$17,925.8",VA,Wholesale
Orion Lending,5.500%,6.704%,"$4,224.456",3.315,"$21,731.7",VA,Wholesale
Pennymac TPO,5.500%,6.407%,"$3,503.121",0.265,"$7,450.4",FHA,Wholesale
Loan Factory Direct - PennyMac,5.500%,6.407%,"$3,503.121",0.265,"$7,450.4",FHA,Wholesale
Sun West Mtg Co Wholesale,5.500%,6.408%,"$3,503.121",0.70188,"$7,511",FHA,Wholesale
CMG Financial,5.500%,6.427%,"$3,503.121",0.767,"$8,224.5",FHA,Wholesale
Loan United Wholesale,5.500%,6.428%,"$3,503.121",-0.2530000000000001,"$8,250",FHA,Wholesale
NewRez LLC,5.500%,6.439%,"$3,503.121",0.6,"$8,682.8",FHA,Wholesale
Eleven Mortgage,5.500%,6.444%,"$3,503.121",2.6135,"$8,868.8",FHA,Wholesale
AFR Wholesale,5.500%,6.456%,"$3,503.121",0.7144600000000025,"$9,321.7",FHA,Wholesale
Kind Lending,5.500%,6.486%,"$3,503.121",0.86225,"$10,492",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.500%,6.486%,"$3,503.121",0.86225,"$10,492",FHA,Wholesale
"VIP Mortgage, Inc.",5.500%,6.487%,"$3,503.121",0.5361900000000048,"$10,512.1",FHA,Wholesale
Open Mortgage,5.500%,6.487%,"$3,503.121",0.542,"$10,516.2",FHA,Wholesale
NexBank,5.500%,6.496%,"$3,503.121",0.732600000000005,"$10,850.3",FHA,Wholesale
AD Mortgage,5.500%,6.529%,"$3,503.121",0.9330000000000069,"$12,125.5",FHA,Wholesale
Plaza Home Mortgage Inc.,5.500%,6.537%,"$3,503.121",0.66707,"$12,426.3",FHA,Wholesale
Jet Advantage Mortgage,5.500%,6.546%,"$3,503.121",1.5849999999999937,"$12,772.2",FHA,Wholesale
Forward Lending,5.500%,6.546%,"$3,503.121",1.5849999999999937,"$12,772.2",FHA,Wholesale
HomeBridge Wholesale,5.500%,6.548%,"$3,503.121",1.121,"$12,828.3",FHA,Wholesale
Loan United Wholesale,5.500%,6.087%,"$3,556.491",-0.1770000000000067,"$7,555.1",VA,Wholesale
Pennymac TPO,5.500%,6.095%,"$3,556.491",0.171,"$7,855",VA,Wholesale
Loan Factory Direct - PennyMac,5.500%,6.095%,"$3,556.491",0.171,"$7,855",VA,Wholesale
NewRez LLC,5.500%,6.110%,"$3,556.491",0.59,"$8,454.7",VA,Wholesale
Eleven Mortgage,5.500%,6.137%,"$3,556.491",2.6642,"$9,526",VA,Wholesale
Sun West Mtg Co Wholesale,5.500%,6.150%,"$3,556.491",0.70188,"$10,030.9",VA,Wholesale
CMG Financial,5.500%,6.159%,"$3,556.491",1.017,"$10,367.7",VA,Wholesale
NexBank,5.500%,6.182%,"$3,556.491",0.7944300000000055,"$11,285",VA,Wholesale
Open Mortgage,5.500%,6.198%,"$3,556.491",0.792,"$11,918.7",VA,Wholesale
Plaza Home Mortgage Inc.,5.500%,6.230%,"$3,556.491",0.77707,"$13,134.1",VA,Wholesale
Kind Lending,5.500%,6.230%,"$3,556.491",1.30912,"$13,170.5",VA,Wholesale
Loan Factory Direct - Kind Lending,5.500%,6.230%,"$3,556.491",1.30912,"$13,170.5",VA,Wholesale
The Loan Store LLC,5.500%,6.251%,"$3,556.491",1.1400000000000006,"$13,976.4",VA,Wholesale
Jet Advantage Mortgage,5.500%,6.255%,"$3,556.491",1.8149999999999977,"$14,105.6",VA,Wholesale
Forward Lending,5.500%,6.255%,"$3,556.491",1.8149999999999977,"$14,105.6",VA,Wholesale
AFR Wholesale,5.500%,6.319%,"$3,556.491",2.004000000000005,"$16,597.7",VA,Wholesale
Loan United Wholesale,5.500%,6.146%,"$2,891.511",-0.2530000000000001,"$5,703.7",FHA,Wholesale
AmWest Funding Corp,5.500%,6.165%,"$2,891.511",-0.089,"$6,666.3",FHA,Wholesale
Pennymac TPO,5.500%,6.180%,"$2,891.511",0.265,"$7,450.4",FHA,Wholesale
Loan Factory Direct - PennyMac,5.500%,6.180%,"$2,891.511",0.265,"$7,450.4",FHA,Wholesale
Sun West Mtg Co Wholesale,5.500%,6.181%,"$2,891.511",0.70188,"$7,511",FHA,Wholesale
AFR Wholesale,5.500%,6.194%,"$2,891.511",0.49200000000000443,"$8,188.8",FHA,Wholesale
CMG Financial,5.500%,6.195%,"$2,891.511",0.767,"$8,224.5",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.500%,6.198%,"$2,891.511",0.44425,"$8,363.3",FHA,Wholesale
Kind Lending,5.500%,6.198%,"$2,891.511",0.44425,"$8,363.3",FHA,Wholesale
NexBank,5.500%,6.200%,"$2,891.511",0.2629699999999957,"$8,458.7",FHA,Wholesale
NewRez LLC,5.500%,6.204%,"$2,891.511",0.6,"$8,682.8",FHA,Wholesale
Eleven Mortgage,5.500%,6.208%,"$2,891.511",2.6135,"$8,868.8",FHA,Wholesale
Power TPO,5.500%,6.209%,"$2,891.511",0.6069999999999993,"$8,937.5",FHA,Wholesale
AD Mortgage,5.500%,6.215%,"$2,891.511",0.3649999999999949,"$9,232.9",FHA,Wholesale
Open Mortgage,5.500%,6.215%,"$2,891.511",0.292,"$9,243",FHA,Wholesale
Windsor Mortgage Solutions,5.500%,6.217%,"$2,891.511",0.19061999999999557,"$9,363.3",FHA,Wholesale
Plaza Home Mortgage Inc.,5.500%,6.228%,"$2,891.511",0.66707,"$9,880",FHA,Wholesale
"VIP Mortgage, Inc.",5.500%,6.229%,"$2,891.511",0.4300000000000068,"$9,971.3",FHA,Wholesale
Jet Advantage Mortgage,5.500%,6.232%,"$2,891.511",1.0600000000000023,"$10,098.6",FHA,Wholesale
Forward Lending,5.500%,6.232%,"$2,891.511",1.0600000000000023,"$10,098.6",FHA,Wholesale
Orion Lending,5.500%,6.233%,"$2,891.511",1.225,"$10,175",FHA,Wholesale
TPO GO,5.500%,6.234%,"$2,891.511",1.0520000000000067,"$10,185.2",FHA,Wholesale
The Loan Store LLC,5.500%,6.234%,"$2,891.511",0.4339999999999975,"$10,220.9",FHA,Wholesale
